timestamp,equity,active_capital,locked_profit
2026-01-01T05:15:00+00:00,20000.0,20000.0,0.0
2026-01-01T05:30:00+00:00,20000.0,20000.0,0.0
2026-01-01T05:45:00+00:00,20000.0,20000.0,0.0
2026-01-01T06:00:00+00:00,20000.0,20000.0,0.0
2026-01-01T06:15:00+00:00,20000.0,20000.0,0.0
2026-01-01T06:30:00+00:00,20000.0,20000.0,0.0
2026-01-01T06:45:00+00:00,20000.0,20000.0,0.0
2026-01-01T07:00:00+00:00,20000.0,20000.0,0.0
2026-01-01T07:15:00+00:00,20000.0,20000.0,0.0
2026-01-01T07:30:00+00:00,20000.0,20000.0,0.0
2026-01-01T07:45:00+00:00,20000.0,20000.0,0.0
2026-01-01T08:00:00+00:00,20000.0,20000.0,0.0
2026-01-01T08:15:00+00:00,20000.0,20000.0,0.0
2026-01-01T08:30:00+00:00,20000.0,20000.0,0.0
2026-01-01T08:45:00+00:00,20000.0,20000.0,0.0
2026-01-01T09:00:00+00:00,20000.0,20000.0,0.0
2026-01-01T09:15:00+00:00,20000.0,20000.0,0.0
2026-01-01T09:30:00+00:00,20000.0,20000.0,0.0
2026-01-01T09:45:00+00:00,20000.0,20000.0,0.0
2026-01-01T10:00:00+00:00,20000.0,20000.0,0.0
2026-01-01T10:15:00+00:00,20326.51792828684,20000.0,0.0
2026-01-01T10:30:00+00:00,20094.76494023904,20094.76494023904,0.0
2026-01-01T10:45:00+00:00,20094.76494023904,20094.76494023904,0.0
2026-01-01T11:00:00+00:00,20094.76494023904,20094.76494023904,0.0
2026-01-01T11:15:00+00:00,20094.76494023904,20094.76494023904,0.0
2026-01-01T11:30:00+00:00,20094.76494023904,20094.76494023904,0.0
2026-01-01T11:45:00+00:00,20094.76494023904,20094.76494023904,0.0
2026-01-01T12:00:00+00:00,20094.76494023904,20094.76494023904,0.0
