path,tracked_by_git,untracked,ignored_by_git,file_size_mb,row_count,first_timestamp,last_timestamp,timestamp_column,schema_columns,needed_for_rebuild,can_redownload_from_public_klines,recommended_action,reason,recreate_command_on_mac
data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-12.csv,False,False,True,272.9359,4432873,2018-01-01 00:00:00,2026-06-12 00:00:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-13.csv,False,False,True,273.0237,4434313,2018-01-01 00:00:00,2026-06-13 00:00:00,timestamp,timestamp|open|high|low|close|volume,True,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,False,False,True,271.172,4404072,2018-01-01 00:00:00,2026-05-22 23:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
data_storage/BTCUSDT/1m/BTCUSDT_1m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,False,False,True,186.0665,2977525,2020-09-22 06:30:00,2026-05-22 23:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
data_storage/BTCUSDT/1m/BTCUSDT_1m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,False,False,True,183.9904,2944615,2020-10-15 03:00:00,2026-05-22 23:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
data_storage/BTCUSDT/1m/BTCUSDT_1m_2024-01-01T00.00.00_to_2024-01-02T00.00.00.csv,False,False,True,0.0888,1440,2024-01-01 00:00:00,2024-01-01 23:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,python main_download.py --symbol BTCUSDT --interval 1m --start-date 2018-01-01 --end-date 2026-06-13
data_storage/BTCUSDT/1m/BTCUSDT_1m_live_runtime.corrupt.csv,False,False,True,0.1233,2003,2024-01-01 07:21:00,2026-05-24 11:34:00,timestamp,timestamp|open|high|low|close|volume,False,False,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,Recreated by runtime only if needed; do not bootstrap research state from live runtime tape.
data_storage/BTCUSDT/1m/BTCUSDT_1m_live_runtime.csv,False,False,True,9.2962,151201,2026-03-01 20:25:00,2026-06-14 20:25:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC,large root market archive can be recreated from public klines,Recreated by runtime only if needed; do not bootstrap research state from live runtime tape.
structural_compounding_lab/data_storage/BTCUSDT/1m/btcusdt_1m_canonical_shadow_forward.backup_20260618T235404Z.csv,False,False,True,9.6561,157115,2026-03-01 20:25:00,2026-06-18 22:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,backup snapshots are redundant if the canonical tape is preserved or rebuilt,
structural_compounding_lab/data_storage/BTCUSDT/1m/btcusdt_1m_canonical_shadow_forward.backup_20260618T235513Z.csv,False,False,True,9.6561,157115,2026-03-01 20:25:00,2026-06-18 22:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,backup snapshots are redundant if the canonical tape is preserved or rebuilt,
structural_compounding_lab/data_storage/BTCUSDT/1m/btcusdt_1m_canonical_shadow_forward.backup_20260618T235707Z.csv,False,False,True,9.6561,157115,2026-03-01 20:25:00,2026-06-18 22:59:00,timestamp,timestamp|open|high|low|close|volume,False,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,backup snapshots are redundant if the canonical tape is preserved or rebuilt,
